Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Dj Swat Que Comanda 1,"DJ Swat,Mc Dudu Sk,Mc Gabzin,Mc T4",0.813,0.511,0.185,0.532,1.14e-06,0.0935,0.31
JÁ PROCUREI EM OUTROS BRAÇOS NÃO TEM MAIS NÓS,130 BPM,0.901,0.744,0.439,0.634,0.0,0.0933,0.899
Se a Saudade Bater,"MC Tairon,Gabriel Tadeu",0.679,0.301,0.155,0.619,1.49e-05,0.145,0.543
Eu Já Sofri por Amor Mas Não Sofro Mais (Tik Tok),"MC Teuzin PV,MC Skcot",0.773,0.855,0.356,0.223,1.25e-05,0.121,0.658
Só Love,"MC Luan da BS,Mc Vitin do LJ",0.704,0.61,0.243,0.255,0.0,0.063,0.449
Rebola Lentinho,"Mc Kaio,MC Rick",0.857,0.469,0.0649,0.582,0.0,0.0917,0.528
Replay,"MC Zaquin,MC Braz",0.789,0.356,0.0369,0.552,0.0,0.0892,0.579
Menina da Zona Sul 2,"Mc Kaio,MC Rick",0.63,0.614,0.138,0.119,1.24e-06,0.0934,0.57
Baile no Morro,"MC Tairon,Mc Vitin Da Igrejinha,Dj Win,life song",0.714,0.404,0.453,0.457,0.0,0.0701,0.782
Ritmada 2,"MC LD,DJ Mandrake 100% Original",0.8,0.68,0.0896,0.58,6.57e-05,0.124,0.487
Agora é Tudo Meu,"DENNIS,MC Kevinho",0.848,0.933,0.106,0.7,2.81e-06,0.184,0.506
Senta com Amor,"MC Kevinho,Zé Felipe",0.86,0.821,0.0599,0.135,0.0,0.0134,0.885
O Bebê,"MC Kevinho,MC Kekel",0.81,0.749,0.114,0.248,0.0,0.241,0.795
Salvou meu dia (Participação especial de Gusttavo Lima),"MC Kevinho,Gusttavo Lima",0.782,0.73,0.0807,0.409,0.0,0.326,0.83
MONTAGEM SINISTRA CLUB DA DZ7,"DJ Rafinha Dz7,Mc Nauan,DJ Tenebroso,DJ WIZARD,DJ Magrones",0.723,0.76,0.0819,0.461,0.000862,0.073,0.181
ELA ME M4MOU NA RUA (feat. DJ Jeeh FDC),"MC Gedai,Yuri Redicopa,djfuryzl,DJ Jeeh FDC",0.831,0.817,0.403,0.548,9.89e-06,0.203,0.383
"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,0.689,0.67,0.0317,0.302,0.0,0.749,0.579
Menina Bela,MC Zaquin,0.768,0.331,0.0825,0.478,0.000178,0.0663,0.619
Ela É do Tipo (feat. Drake) - Remix,"MC Kevin o Chris,Drake",0.576,0.524,0.24,0.89,0.0,0.108,0.715
